Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
"Spesial Mie Ayam & Bakso ""Sopo Nyono""",4.4,730,"69WQ+2XV, Jl. Cemp., Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7548764,110.38991589999999,ChIJf-lSCahZei4R5uTC9y57H3Q
Bakso & Mie Ayam Mas Wardi (Asli Wonogiri),4.4,547,"Jl. Rajawali Raya No.97, Manukan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7458556,110.39949709999999,ChIJ2fDK-AxZei4RatySuJRVSoU
Kedai Bakso Gemboel ( mulai dari 5rb rupiah )),4.6,55,"69VQ+W8Q, Jl. Sawitsari, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.755110999999999,110.3885138,ChIJp7yzsA5Zei4RWPkL8VV7lbU
Bakso Jowo Pak Cip - Khas Wonosari,4.7,227,"B Jl. Kinanti No.16, Kayen, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.746599100000001,110.3881285,ChIJBzCgrwVZei4RSjjWzdrQLrg
Warung Bakso Dan Mie Ayam Ojo Lali Mbak Rini,4.5,192,"Jl. Kaliurang, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7484515,110.38723499999999,ChIJR9HuLQRZei4R-YciTRR9mWE
Bakso Lombok Uleg Pak Di Jakal,4.4,517,"Jl. Kaliurang, Purwosari, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7510423999999984,110.3854587,ChIJv8PH_vtZei4RWoN9aejIIn4
Bakso Urat Arema Soringin,4.5,1221,"Jl. Pogung Kidul No.1, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7637162,110.37371999999999,ChIJeZuynTNYei4RQgOW0YYqIoU
Mie Ayam Bakso & Es Cendol Dawet Klangenan Pusat,4.8,42,"Jl. Anggajaya No.188, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.754116,110.3972189,ChIJXUJDUF1Zei4ReNnVXZts_9E
Bakso Urat • Mie Ayam Citarasa Temanggung,4.4,292,"Jl. Agro No.1, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7657411000000005,110.3788914,ChIJifIdtrJZei4RTRPeuLULlqQ
Bakso Mie Ayam Pak Di,4.5,896,"Jl. Anggrek No.44, Samirono, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.777269799999999,110.38209169999999,ChIJNz3MUspZei4RBfJqkoGbEGY
Bakso Bang Nono,4.3,42,"Jl. Cemp. Putih No.38, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7641707,110.39077019999999,ChIJT5scw5dZei4RWvtRCH2mJmg
Mie Ayam Bakso Mas Beni,5,24,"Jl. Anggajaya, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7562864,110.39803429999999,ChIJ1UHtWwBZei4R_1CkFEJSq6E
