Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Tekodeko Koffiehuis,4.5,3083,"Jl. Kepodang No.64, Kota Lama, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137, Indonesia",-6.9691585,110.4284666,ChIJ48PfWVbzcC4RC9qhZdPVKik
GANGA KOPI,5,4,"Jl. Mintojiwo Raya No.10, Gisikdrono, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",-6.9893256,110.38787649999999,ChIJ0fLdX4KLcC4R4u1I6L2FpQw
Jepun Coffee,4.7,83,"Jl. Kumudasmoro Selatan No.9, Gisikdrono, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",-6.991677699999999,110.38972609999999,ChIJHUa36DOLcC4R-Zevig_D8Jw
LIKA LIKU,4.6,778,"Jl. Veteran No.16-18, Lempongsari, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50231, Indonesia",-6.9959614,110.411435,ChIJDz7eoVSLcC4RjbsxE9KP4jE
Cafe dSky (Kedai makan & Kopi),4.5,156,"Jl. Kumudasmoro Utara No.22A, Bongsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",-6.9886783999999995,110.3911279,ChIJjyASb5GLcC4RFGNLxRWNXVk
Levain Cafe - Artisan Sourdough & Coffee,4.6,918,"Jl. Sisingamangaraja No.31, Wonotingal, Kec. Candisari, Kota Semarang, Jawa Tengah 50252, Indonesia",-7.0153047,110.4200338,ChIJn95Tuo-LcC4RNxrQdHyR3jo
Kantor Pusat Tokokopi Departemen Kopi Indonesia,4.8,26,"Jl. Gedong Songo Raya No.8, Manyaran, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50147, Indonesia",-7.0003717,110.38857229999999,ChIJ98RYkyqLcC4R39rk-3CsD24
Kopi Djono,5,11,"Jl. Kenconowungu I No.24 A, Karangayu, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",-6.9810992,110.3928573,ChIJNUVPLwCLcC4RVAov58BqVRY
Reda Coffee,5,18,"298P+6QJ, Jl. Puspogiwang, Gisikdrono, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",-6.9844124,110.38689980000001,ChIJSRpaPQCLcC4Rr42BAjl8vfg
Alska Slowbar,5,40,"Jl. Puri Anjasmoro No.9 blok L3, Tawangsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50144, Indonesia",-6.969908299999999,110.38431879999999,ChIJY7PbNAD1cC4Rjb24eebTN5Q
Buana Bakery & Coffee SPR Siliwangi,4.9,32,"Jl. Jenderal Sudirman No.322, Salamanmloyo, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50146, Indonesia",-6.983587399999999,110.3903215,ChIJ-QD_S36LcC4RoEiNUy84C8U
Stasiun Kopi Semarang,4.8,266,"2CCF+FQP, Jl. Wotgandul Barat, Kranggan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia",-6.978780899999999,110.4244647,ChIJh1zTvVWLcC4Rg81A66QhYTw
OLSEN CAFFEINE SUPPLY,4.7,97,"Jl. Pekunden Timur No.21, Pekunden, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50241, Indonesia",-6.987876699999999,110.4206409,ChIJc4GYADqLcC4RkreiySHvEFU
AHEAD,4.7,274,"Jl. Telaga Bodas Raya No.19, Karangrejo, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50291, Indonesia",-7.0261230999999995,110.41807349999999,ChIJ365NYxmLcC4RfME5aJjg9wY
Steam & Brew,4.6,739,"Jl. Depok No.36 A, Kembangsari, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50133, Indonesia",-6.9773353,110.4184274,ChIJ81hcElOLcC4RQTBOzeahBHo
"RENZ, Kedai Kopi",4.4,181,"Jl. Puspanjolo Tengah Raya No.55, Bojongsalaman, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50141, Indonesia",-6.9853860999999995,110.3988397,ChIJG3WrAACLcC4R79JqzkdrO4c
Tongkrongan P.Dhe,4.8,87,"Jl. Taman Kumudasmoro, Bongsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",-6.990230899999999,110.390682,ChIJH6jYSb2LcC4Rz3GqC8BRSGE
AGAYA Eatery and Coffee,4.5,456,"Jl. Singosari I No.21, Pleburan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50241, Indonesia",-6.998092499999999,110.42614379999999,ChIJUZ6ZrLeLcC4Rw3fi2xTpkmM
Kopi Pawon Semarang Indah,5,22,"2C92+RGQ, Jl. Madukoro Raya, Krobokan, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50141, Indonesia",-6.9804213,110.4013609,ChIJ3Ze4dgCLcC4RI9Xxew4Ou_s
