Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Bengkel Umum & Press body motor,4.2,156,"Jl. Monumen Jogja Kembali No.29, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7535601,110.37036189999999,ChIJUwF_kvhYei4Ro_SljJQjZvg
Bengkel Mobil Bayu Motor Yogyakarta,4.7,33,"Jl. Magelang No.5, Kutu Asem, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7574711,110.3618834,ChIJDVq3oFhYei4Rdkii2zvXgzI
SiTepat Digital Motoshop Caturtunggal,4.9,1065,"Jl.Kaliurang km 6,8 no.11, RT.07/RW.50, Kayen, Babadan Baru, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.747338999999999,110.387861,ChIJ0SmBJDZZei4RkDcI-o1wURo
Bengkel Merapi,4.5,184,"Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55242, Indonesia",-7.769894099999998,110.36045010000001,ChIJeYecBURYei4RKHAWDD1BVGA
Bengkel Panggilan 24 jam Nonstop,4.2,89,"Jl. Magelang, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7540094999999996,110.3619375,ChIJt_lNHJVZei4RRQh2TXpiyhA
Anggajaya Bengkel,4.4,22,"69VX+G58, Jl. Anggajaya 2, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.756202999999999,110.39796349999999,ChIJS6jgIaFZei4RH5huXzvIN6A
ANDOYO 3 MOTOR,5,2,"Jl. Ring Road Utara, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7585102,110.3971511,ChIJ1apriKlZei4Rs7YzqMeg2Dc
Bengkel Ign Motor,4,62,"Jalan Selokan Mataram Karangjati, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.762037800000001,110.3674329,ChIJqfwQvlBYei4RO7fCRbyFo_s
Bengkel Mobil OJC Auto Service Gamping,4.7,255,"Jl. Ringroad Barat, Baturan, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291, Indonesia",-7.751826999999999,110.34029799999999,ChIJEYM_Y4ZYei4RFmAVI8potU0
TMS Mandiri,4.4,33,"Jl. Sawit Sari No.11, Pikgondeng, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55225, Indonesia",-7.7558639000000005,110.38958129999999,ChIJCw7XZKhZei4RKGCFMhgznbc
Bengkel Mobil PaluGada Motor Sleman Yogyakarta,4.8,39,"Beteng, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.704398899999999,110.3528395,ChIJXxV9GVpfei4RpQ6zm1rBA60
Bengkel Mobil Kang Uud,4.8,61,"Jl. Magelang No.Km.5,8, Kutu Tegal, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7534095,110.36244769999999,ChIJWb-lQ_ZYei4R3g0yLEWpz7k
BENGKEL SKY MOTOR ENGINE GARAGE,5,145,"787H+7RP, Jl. Ketingan, Area Sawah, Tlogoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55287, Indonesia",-7.7367954,110.3295687,ChIJu25a6bX3ei4ROyBRp2mYK_k
Bengkel Motor 68,4,12,"Jl. Cemp. No.69, Perumnas Condong Catur, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7567901,110.40583939999999,ChIJX2xx555Zei4RWY7w6-d4HjM
Bengkel Serba Bisa,5,1,"69JR+FJ9, Jl. Selokan Mataram, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7688419,110.3916047,ChIJh8gi97lZei4RY_nEqYG8UFc
Yoyok motor sleman,4.4,161,"Jl. Dr. Radjimin No.73, Paten, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.7080343000000004,110.3474713,ChIJHcNrwk5fei4REwyaeNckmbc
Bengkel Prisma Motor,4.7,17,"Jl. Affandi No.33, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.761603099999999,110.39424389999999,ChIJYfub8KRZei4RKmhijEZm7ng
Handoko Motor(bengkel Mobil),4.7,195,"JL Damai, No 8 RT 003/21, Krikrilan, Wonorejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7334906,110.3853424,ChIJw7-dfiJZei4RtWwtEuhbv7I
"Bengkel mobil ANUGRAH JAYA : melayani Service AC bergaransi , Tune up , Gurah Mesin, SCAN, Elektrical , OVERHAUL, Ganti Oli",4.5,61,"Jl. Kabupaten No.km 2, Biru, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286, Indonesia",-7.7625687999999995,110.3449859,ChIJOwTiTIhZei4RgQ1o9LSlg34
Bengkel Adi Jaya,4.3,153,"Mranggen Tegal Rt.04 Rw.22 Mlati, Jombor Kidul, Sinduadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7532598,110.36591879999999,ChIJmVwvjvdYei4RXmt0lDG389U
Bengkel DJMJ opel&chevrolet,5,12,"Jl. Rajawali No.3, Pringwulung, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7686195,110.39847650000002,ChIJtR5hUfpZei4RPpSjDeSIUdU
Bengkel Dinamo Eternajaya Spull,5,43,"Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7533578,110.3988894,ChIJMQtggqBZei4RkCbPdXr2lfU
Bengkel Mobil Satria Jaya,4.8,92,"Jalan Kepitu-Pendowoharjo, Kepitu, Trimulyo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55513, Indonesia",-7.6935101,110.35385799999999,ChIJ_a10pmpfei4RoLp6hSK9jD4
Bengkel Las Anugerah Pak Sukiyo,5,2,"6CV2+VPJ, Jl. Munggur, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7552845,110.4017791,ChIJry2LMqBZei4RwG0jPN3dCuA
Opik Motor,4,160,"78WX+P7F, Jl. Dr. Radjimin, Wadas, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514, Indonesia",-7.7031818,110.34816500000001,ChIJT0r120Vfei4RbozIfUes6Ec
Bengkel Unggul Jaya Mtr Jogja 2,N/A,N/A,"6CV2+RFW, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7553551,110.4012217,ChIJ7b4yLgBZei4RKutaZ-rr468
Bengkel sepeda 21,4.8,16,"69JR+PFG, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.768176999999999,110.39120989999999,ChIJH9ZwYb5Zei4RwIPn62FSIpU
Bringin Knalpot,4.7,63,"Jl. Ring Road Utara, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.75812,110.39688179999999,ChIJfXRtUaFZei4Rukcz0iNx650
